Mois,Ref Employe,Salaire Base,Salaire
01/01/2024,1,1500000,inter1
01/01/2024,2,1623450,inter1
01/01/2024,3,1347892,gasy1
01/01/2024,4,1205678,gasy1
01/01/2024,5,1582345,inter1
01/01/2024,6,1723456,gasy1
01/01/2024,7,1278945,inter1
01/01/2024,8,1502345,gasy1
01/01/2024,9,1606789,gasy1
01/01/2024,10,945321,inter1
01/02/2024,1,1540250,inter1
01/02/2024,2,1614752,gasy1
01/02/2024,3,1379086,inter1
01/02/2024,4,1201126,gasy1
01/02/2024,5,1583568,inter1
01/02/2024,6,1718246,gasy1
01/02/2024,7,1307512,inter1
01/02/2024,8,1538690,gasy1
01/02/2024,9,1598168,gasy1
01/02/2024,10,975086,inter1
01/03/2024,1,1581000,inter1
01/03/2024,2,1644591,inter1
01/03/2024,3,1416792,gasy1
01/03/2024,4,1237725,gasy1
01/03/2024,5,1610479,inter1
01/03/2024,6,1746591,gasy1
01/03/2024,7,1314792,inter1
01/03/2024,8,1542591,gasy1
01/03/2024,9,1630740,gasy1
01/03/2024,10,974791,inter1
01/04/2024,1,1622250,inter1
01/04/2024,2,1683604,gasy1
01/04/2024,3,1443271,inter1
01/04/2024,4,1271604,gasy1
01/04/2024,5,1637826,inter1
01/04/2024,6,1786604,gasy1
01/04/2024,7,1340271,inter1
01/04/2024,8,1580604,gasy1
01/04/2024,9,1660715,gasy1
01/04/2024,10,1004694,inter1
01/05/2024,1,1664000,inter1
01/05/2024,2,1711505,inter1
01/05/2024,3,1480394,gasy1
01/05/2024,4,1295620,gasy1
01/05/2024,5,1665283,inter1
01/05/2024,6,1815505,gasy1
01/05/2024,7,1365994,inter1
01/05/2024,8,1607505,gasy1
01/05/2024,9,1688394,gasy1
01/05/2024,10,1024527,inter1
01/06/2024,1,1706250,inter1
01/06/2024,2,1739628,gasy1
01/06/2024,3,1517961,inter1
01/06/2024,4,1319628,gasy1
01/06/2024,5,1692962,inter1
01/06/2024,6,1844628,gasy1
01/06/2024,7,1391961,inter1
01/06/2024,8,1634628,gasy1
01/06/2024,9,1716295,gasy1
01/06/2024,10,1044995,inter1
01/07/2024,1,1749000,inter1
01/07/2024,2,1767963,inter1
01/07/2024,3,1555963,gasy1
01/07/2024,4,1355635,gasy1
01/07/2024,5,1720863,inter1
01/07/2024,6,1873963,gasy1
01/07/2024,7,1418163,inter1
01/07/2024,8,1661963,gasy1
01/07/2024,9,1744418,gasy1
01/07/2024,10,1061308,inter1
01/08/2024,1,1792250,inter1
01/08/2024,2,1796424,gasy1
01/08/2024,3,1593242,gasy1
01/08/2024,4,1380431,inter1
01/08/2024,5,1748986,inter1
01/08/2024,6,1903424,gasy1
01/08/2024,7,1443442,inter1
01/08/2024,8,1689424,gasy1
01/08/2024,9,1772764,gasy1
01/08/2024,10,1083209,inter1
01/09/2024,1,1836000,inter1
01/09/2024,2,1824132,gasy1
01/09/2024,3,1609332,inter1
01/09/2024,4,1405332,gasy1
01/09/2024,5,1777332,inter1
01/09/2024,6,1932132,gasy1
01/09/2024,7,1458132,inter1
01/09/2024,8,1716132,gasy1
01/09/2024,9,1801321,gasy1
01/09/2024,10,1105332,inter1
01/10/2024,1,1880250,gasy1
01/10/2024,2,1842234,inter1
01/10/2024,3,1636345,gasy1
01/10/2024,4,1430456,inter1
01/10/2024,5,1805900,gasy1
01/10/2024,6,1951234,gasy1
01/10/2024,7,1483745,inter1
01/10/2024,8,1733234,gasy1
01/10/2024,9,1830002,gasy1
01/10/2024,10,1127678,inter1
01/11/2024,1,1925000,inter1
01/11/2024,2,1871357,gasy1
01/11/2024,3,1663579,inter1
01/11/2024,4,1455801,gasy1
01/11/2024,5,1834679,inter1
01/11/2024,6,1981357,gasy1
01/11/2024,7,1509579,inter1
01/11/2024,8,1761357,gasy1
01/11/2024,9,1857913,gasy1
01/11/2024,10,1150245,inter1
01/12/2024,1,1970250,inter1
01/12/2024,2,1900702,gasy1
01/12/2024,3,1691036,inter1
01/12/2024,4,1481369,gasy1
01/12/2024,5,1863580,inter1
01/12/2024,6,2011702,gasy1
01/12/2024,7,1535636,inter1
01/12/2024,8,1789702,gasy1
01/12/2024,9,1876036,gasy1
01/12/2024,10,1173035,inter1
